Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar	Old A	
2728	Wicker	A742868-A	He Po Ph Pi Fr Mr	{ 2 }	(E7C-5)	[5A29]	-	-	R	104	12	SoCf	M0 V M4 V	ImDs	
2729	Namodi	C6798A6-9	Ph Pi	{ 0 }	(D79-1)	[7848]	-	-	-	903	12	SoCf	G3 V	SoCf	
2822	Butphi	B520110-B	De He Lo Po	{ 1 }	(701-3)	[1216]	B	-	-	522	13	ImDs	K1 V K3 V	ImDs	
2923	Asorret	B403866-A	Ic Na Va Ph Pi Co Mr	{ 2 }	(D7C+1)	[7A4A]	BDe	N	-	903	9	ImDs	F4 V	ImDs	
2924	Leikung	C798555-A	Ag Ni RsA	{ 1 }	(A45-1)	[3638]	BC	-	-	503	12	ImDs	G7 V	ImDs	
2927	Union	C974AA8-A	Hi In	{ 3 }	(G9D+3)	[AD5A]	-	-	-	804	15	SoCf	K6 V M3 V	ImDs	
3029	Clarmeer	D562473-7	Ni	{ -3 }	(631-5)	[1124]	-	-	-	814	10	SoCf	K1 V M1 V	ImDs	
3030	Pocatlipcat	E430889-8	De Na Po Ph Ho	{ -2 }	(D76-1)	[9669]	-	-	-	703	9	SoCf	F8 V K4 V	ImDs	
3123	Gjerdingen	X5758A9-5	Pa Ph Pi Fo Lt	{ -2 }	(A75-1)	[9666]	-	-	R	613	11	ImDs	K5 V M2 V	ImDs	
3125	Onewen	D3106BF-8	Na Ni Da Sa	{ -3 }	(A51+2)	[B3AD]	B	S	A	402	7	ImDs	M0 V	ImDs	
3128	Beta	C576A6A-9	Hi In Mr Pz	{ 2 }	(F9C+1)	[CC7B]	-	-	A	603	8	SoCf	G7 V M1 V	ImDs	
3129	Beagle	D766A99-A	Hi Ga	{ 1 }	(C9B+2)	[BB6B]	-	-	-	200	10	SoCf	F5 V	ImDs	
3222	Montlivan	C688456-A	Ni Pa Da Ho	{ 0 }	(D33-1)	[3449]	Bc	-	A	225	10	ImDs	F6 V	ImDs	
3223	Zongwu	C433652-B	Na Ni Po Fr Lk	{ 0 }	(C54-4)	[2617]	B	-	-	913	12	ImDs	M0 V M7 V	ImDs	
3224	Dirramu	C894587-9	Ag Ni Co Tu	{ 0 }	(A44+1)	[5559]	BC	-	-	103	12	ImDs	K9 V	ImDs	
3227	Ersgill	B6A7532-A	Fl Ni Co Tz	{ 1 }	(C45-5)	[1618]	-	-	-	723	14	SoCf	M0 V	ImDs	
3230	Hemoth	D641425-7	He Ni Po	{ -3 }	(631-5)	[2135]	-	-	-	202	9	SoCf	K9 V	ImDs	
0131	Indet	B7B79BD-D	Fl Hi In Pz Fr Ht	{ 4 }	(D8G+5)	[DD9H]	-	-	A	102	8	SoCf	M0 V	SoCf	
0134	Quizen	B6AA865-D	Fl Ph O:0233 Co Tz Ht	{ 2 }	(B7D+1)	[6A3B]	-	-	-	910	9	SoCf	M1 V	SoCf	
0135	Regasas	A100877-E	Na Va Ph Pi Lk Ht	{ 2 }	(A7D+2)	[8A5E]	-	-	-	300	8	SoCf	M1 V M2 V	SoCf	
0136	Wilkerson	A7BA767-E	Fl O:0135 Fr Ht	{ 2 }	(C6D+2)	[795E]	-	-	-	312	11	SoCf	M0 V M1 V	SoCf	
0137	Bentley	B422644-C	He Na Ni Po Tz Ht	{ 1 }	(C55-1)	[473A]	-	-	-	104	13	SoCf	M1 V	SoCf	
0139	Xianjin	A77668A-C	Ag Ni Ht	{ 3 }	(B57+5)	[897E]	-	KM	-	812	12	SoCf	K0 V M0 V	SoCf	
0140	Falkenthal	E59A266-9	Lo Wa O:0139 Sa	{ -2 }	(810-3)	[1148]	-	-	-	213	15	SoCf	G7 V M8 V	SoCf	
0233	Drang	A54379C-C	Po Cp Pi Pz Ht	{ 3 }	(D6D+5)	[AA8F]	-	KM	A	113	16	SoCf	K2 V	SoCf	
0239	Crecilius	B6A7114-C	Fl Lo Co Tz Ht	{ 2 }	(702+1)	[133A]	-	KM	-	213	9	SoCf	K8 V M1 V	SoCf	
0333	Leto	D301557-A	Ic Ni Va Sa	{ -1 }	(B43-1)	[545A]	-	-	-	712	12	SoCf	G8 III D	SoCf	
0337	Zandervort	A87489D-C	Pa Ph Pi Pz Ht	{ 2 }	(C7C+5)	[CA9G]	-	-	A	202	11	SoCf	F4 V	SoCf	
0338	Mitava	C540222-9	De He Lo Po	{ -1 }	(910-5)	[1115]	-	-	-	632	17	SoCf	G6 V	SoCf	
0340	Rundle	A51136B-E	Ic Lo Ho Mr Ht	{ 2 }	(522+4)	[557G]	-	KM	-	400	7	SoCf	G5 V	SoCf	
0432	Agari	C58A99D-C	Hi Wa Pr Pz Tz Ht	{ 2 }	(G8D+5)	[DB9G]	-	-	A	214	12	SoCf	M1 V	SoCf	
0440	Sammadar	C557220-9	Lo Co	{ -1 }	(510-5)	[1114]	-	-	-	610	8	SoCf	M0 V M9 V	SoCf	
0531	Bhola	B5525A9-B	Ni Po	{ 1 }	(B45+2)	[666C]	-	-	-	413	13	SoCf	G6 V	SoCf	
0533	Fukasaku	E300577-9	Ni Va Tz	{ -2 }	(842-2)	[5359]	-	-	-	901	8	SoCf	G7 V M3 V	SoCf	
0534	Joliff	D585354-8	Lo	{ -3 }	(520-5)	[1136]	-	-	-	600	5	SoCf	F8 V M1 V M6 V	SoCf	
0536	Dalton	A89A634-E	Ni Wa Ht	{ 1 }	(B55-1)	[473C]	-	-	-	803	9	SoCf	G2 V	SoCf	
0537	Jiaxiang	B000436-E	As Ni Va Ht	{ 1 }	(A34+1)	[354D]	-	-	-	413	9	SoCf	M0 V M5 V	SoCf	
0540	Ziarko	A201301-E	Ic Lo Va Rs Ho Tz Ht	{ 2 }	(922-2)	[151A]	-	KM	-	222	13	SoCf	K6 V M4 V	SoCf	
0633	Nimikh	E301532-9	Ic Ni Va Tz	{ -2 }	(A42-5)	[1315]	-	-	-	903	16	SoCf	M0 V	SoCf	
0635	Adria	C798246-9	Lo Co	{ -1 }	(710-2)	[1148]	-	-	-	203	12	SoCf	M0 V	SoCf	
0636	Morsen	B301834-C	Ic Na Va Ph Pi Co Sa Ht	{ 2 }	(E7C+1)	[6A3A]	-	-	-	404	14	SoCf	K4 V M4 V	SoCf	
0731	Hershel	D7A5664-8	Fl Ni O:0931 Co	{ -3 }	(B51-5)	[4336]	-	-	-	103	6	SoCf	F9 V	SoCf	
0732	Oldorf	D555588-7	Ag Ni	{ -2 }	(742-2)	[5357]	-	-	-	821	10	SoCf	K8 V M4 V	SoCf	
0736	Sodra	E434886-8	Ph Ho	{ -2 }	(E76-3)	[7647]	-	-	-	222	11	SoCf	K8 V	SoCf	
0737	Kroovand	C438562-B	Ni O:0636 Fr Sa	{ 0 }	(E44-4)	[1517]	-	-	-	925	11	SoCf	M1 V M1 V	SoCf	
0740	Fluri	C78A68C-A	Ni Ri Wa Da	{ 1 }	(955+4)	[978D]	-	-	A	510	11	SoCf	G2 V M5 V	SoCf	
0835	Drocian	C420552-C	De He Ni Po Co Sa Ht	{ 0 }	(A44-4)	[1518]	-	-	-	303	11	SoCf	K4 V M2 V	SoCf	
0836	Hwisiy	BA9A213-D	Lo Oc Ht	{ 1 }	(811-2)	[132A]	-	-	-	313	12	SoCf	G3 V M7 V	SoCf	
0931	Dewal	BA98978-C	Hi In Ht	{ 5 }	(B8G+5)	[9E5C]	-	KM	-	300	11	SoCf	K5 V M4 V	SoCf	
0934	Cea	C864768-8	Ag Ri O:0931	{ 1 }	(B69+1)	[7858]	-	-	-	802	9	SoCf	M0 V	SoCf	
0939	Red	D20159A-9	Ic Ni Va Co	{ -2 }	(E42+1)	[737B]	-	-	-	625	15	SoCf	K0 III	SoCf	
1036	Maxwell	E99A115-9	Lo Wa Co	{ -2 }	(400-4)	[1137]	-	-	-	510	8	SoCf	G4 V G8 V	SoCf	
1040	Arid	B549330-C	Lo Ht	{ 1 }	(921-3)	[1417]	-	-	-	904	13	SoCf	G9 V M8 V	SoCf	
1134	Lazlo's World	A997526-D	Ag Ni Ht	{ 3 }	(B47+2)	[484C]	-	KM	-	104	13	SoCf	G7 V M4 V	SoCf	
1136	Krupp	C69A767-A	Wa Pi O:1438	{ 1 }	(96A+1)	[785A]	-	-	-	900	4	SoCf	G7 V K0 V	SoCf	
1139	536-876	X536400-6	Ni Fo Ho	{ -3 }	(631-5)	[1111]	-	-	R	213	14	SoCf	K9 V M2 V	SoCf	
1140	Manta	C653434-9	Ni Po	{ -1 }	(832-3)	[2337]	-	-	-	620	9	SoCf	G9 V M5 V	SoCf	
1236	Chuo	B566245-B	Lo Chir6 Rs Co	{ 1 }	(411-1)	[1339]	-	-	-	300	11	SoCf	G5 V G8 V	SoCf	
1238	Zuppe	B6A468A-B	Fl Ni Tz	{ 2 }	(D56+4)	[887D]	-	KM	-	805	10	SoCf	M3 V	SoCf	
1240	Drizz	C69A546-B	Ni Wa Tz	{ 0 }	(A44-1)	[454A]	-	-	-	303	9	SoCf	M1 V	SoCf	
1332	Falstaff	C89A798-A	Wa Pi	{ 1 }	(B6A+1)	[785A]	-	-	-	920	9	SoCf	G0 V	SoCf	
1333	Spectrum	E558999-8	Hi	{ -1 }	(C88+1)	[A869]	-	-	-	110	10	SoCf	F8 V	SoCf	
1438	Blackjack	A5119BD-E	Hi Ic In Na Cp Pz Ht	{ 4 }	(G8G+5)	[DD9J]	-	-	A	814	14	SoCf	K5 V	SoCf	
1440	Acqua III	B66A211-D	Lo Wa Ht	{ 2 }	(812-2)	[1419]	-	KM	-	213	12	SoCf	K7 V	SoCf	
1531	Behave	D544443-7	Ni Pa Ho	{ -3 }	(631-5)	[1124]	-	-	-	613	12	SoCf	F2 V	SoCf	
1532	New Ico	C431577-B	Ni Po Tz	{ 0 }	(A44+1)	[555B]	-	-	-	403	14	SoCf	G5 V M2 V	SoCf	
1534	Kolin	B544552-C	Ag Ni Ht	{ 3 }	(B47-1)	[1818]	-	KM	-	904	8	SoCf	F8 V K2 V	SoCf	
1535	Selig	E79A985-A	Hi In Wa	{ 2 }	(B8C+1)	[7B38]	-	-	-	200	9	SoCf	F1 V	SoCf	
1537	Bois	A201100-E	Ic Lo Va Fr Sa Ht	{ 1 }	(501-3)	[1219]	-	-	-	902	9	SoCf	K8 V M2 V	SoCf	
1631	Xuber	D563433-7	Ni	{ -3 }	(631-5)	[1124]	-	-	-	210	14	SoCf	G4 V	SoCf	
1632	Free	C201675-A	Ic Na Ni Va Fr Lk	{ 0 }	(C54-2)	[4638]	-	-	-	404	14	SoCf	M3 V	SoCf	
1637	Brellik	C67A110-B	Lo Wa	{ 0 }	(300-4)	[1116]	-	-	-	900	9	SoCf	K5 V M3 V	SoCf	
1638	Diaque	C599878-9	Ph Pi	{ 0 }	(D79+1)	[8859]	-	-	-	912	15	SoCf	K7 V M8 V	SoCf	
1735	Genugten	B431432-D	Ni Po Tz Ht	{ 1 }	(A34-3)	[1519]	-	-	-	104	15	SoCf	M1 V M1 V	SoCf	
1736	Ungarn	E89799A-8	Hi In	{ 0 }	(C89+2)	[B97A]	-	-	-	410	10	SoCf	G7 V	SoCf	
1831	Coeus	C551633-8	Ni Po Sa	{ -2 }	(B52-5)	[3425]	-	-	-	603	10	SoCf	G0 V	SoCf	
1832	Harpring	B8C788A-B	Fl Ph	{ 2 }	(D7C+4)	[AA7D]	-	-	-	203	8	SoCf	K9 V	SoCf	
1833	Viallalta	A556542-D	Ag Ni Cp Ht	{ 3 }	(C47-1)	[1819]	-	KM	-	823	11	SoCf	K4 V M1 V	SoCf	
1834	Furuma	CC99356-B	Lo	{ 0 }	(820-1)	[234A]	-	-	-	403	13	SoCf	F5 V	SoCf	
1836	Ratri	C55277A-8	Po	{ -1 }	(E67+1)	[967A]	-	-	-	505	8	SoCf	K1 V	SoCf	
1837	Glenex	B754311-B	Lo	{ 1 }	(A21-3)	[1417]	-	-	-	405	15	SoCf	G3 V	SoCf	
1838	Barnstone	D863221-7	Lo	{ -3 }	(410-5)	[1113]	-	-	-	413	11	SoCf	G5 V	SoCf	
1840	Farringhaus	D6A7664-8	Fl Ni O:1438 Tz	{ -3 }	(E51-5)	[4336]	-	-	-	215	18	SoCf	M2 V M8 V	SoCf	
1934	Teault	E521414-8	He Ni Po	{ -3 }	(931-5)	[2136]	-	-	-	712	11	SoCf	F4 V K2 V	SoCf	
1935	Dyavai	C8C8779-9	Fl	{ 0 }	(C69+1)	[876A]	-	-	-	103	12	SoCf	G6 V	SoCf	
1936	Ebisu	C558369-9	Lo O:1935	{ -1 }	(620+1)	[426A]	-	-	-	201	9	SoCf	F9 V	SoCf	
1939	Salyer	B977768-A	Ag Pi O:2139	{ 3 }	(B6C+3)	[7A5A]	-	-	-	902	8	SoCf	G3 V	SoCf	
2032	Ghoryana	A888438-D	Ni Pa Co Ht	{ 2 }	(B35+2)	[465D]	-	KM	-	423	11	SoCf	G2 V	SoCf	
2132	Tuxhorn	C9B5568-A	Fl Ni O:2229 Co Tz	{ 0 }	(C44+1)	[555A]	-	-	-	314	15	SoCf	M3 V M8 V	SoCf	
2133	Diana	X531474-6	Ni Po Fo Tz	{ -3 }	(631-5)	[2134]	-	-	R	723	12	SoCf	M3 V	SoCf	
2134	Urquiza	C9AA142-C	Fl Lo Co Ht	{ 0 }	(400-4)	[1118]	-	-	-	401	9	SoCf	G3 V M3 V	SoCf	
2135	Needler	C10076B-B	Na Va Pi O:2335 Sa	{ 1 }	(E6B+3)	[987D]	-	-	-	123	11	SoCf	M1 V	SoCf	
2136	Gastineau	D773420-7	Ni	{ -3 }	(631-5)	[1112]	-	-	-	704	8	SoCf	K4 V M7 V	SoCf	
2139	Stancombe	C000620-B	As Na Ni Va	{ 0 }	(C54-4)	[1616]	-	-	-	922	12	SoCf	K0 III	SoCf	
2231	Mazotz	X866773-2	Ag Ga Ri Fo Lt	{ 0 }	(965-3)	[4721]	-	-	R	813	8	SoCf	G3 V K6 V	SoCf	
2234	Tyche	C554611-8	Ag Ni	{ -1 }	(C53-5)	[2514]	-	-	-	204	15	SoCf	M1 V	SoCf	
2236	Balajee	C421355-C	He Lo Po Tz Ht	{ 0 }	(620-2)	[133A]	-	-	-	710	10	SoCf	M2 V M9 V	SoCf	
2238	Frykberg	C310343-B	Lo Co Lk	{ 0 }	(920-3)	[1328]	-	-	-	804	10	SoCf	G3 V	SoCf	
2239	Wolfram	B6A3410-C	Fl Ni Ht	{ 2 }	(A35-2)	[1617]	-	KM	-	404	7	SoCf	K4 V K5 V	SoCf	
2332	Licini	C575400-A	Ni Pa	{ 0 }	(933-4)	[1415]	-	-	-	403	8	SoCf	K1 V M2 V	SoCf	
2334	Lisah	A798498-D	Ni Pa Ht	{ 1 }	(934+1)	[455D]	-	-	-	312	7	SoCf	G2 V	SoCf	
2335	Roen	A431830-E	Na Po Ph Tz Ht	{ 3 }	(C7E-1)	[3B19]	-	KM	-	711	9	SoCf	M0 V	SoCf	
2338	Shigetoshi	A424400-E	Ni Tz Ht	{ 2 }	(735-2)	[1619]	-	KM	-	501	8	SoCf	M2 V	SoCf	
2339	Ebaun	E521344-7	He Lo Po Tz	{ -3 }	(520-5)	[1135]	-	-	-	413	15	SoCf	M1 V	SoCf	
2434	Geb	A554224-D	Lo Co Ht	{ 2 }	(712+1)	[143B]	-	KM	-	203	12	SoCf	M0 V	SoCf	
2436	Tuoni	E430377-9	De Lo Po Tz	{ -2 }	(820-2)	[3159]	-	-	-	503	6	SoCf	M2 V	SoCf	
2439	Wingard	A300531-E	Ni Va Lk Ht	{ 1 }	(D45-3)	[161A]	-	-	-	724	13	SoCf	M2 V M9 V	SoCf	
2534	Beldavs	C431420-B	Ni Po Fr Lk	{ 0 }	(C33-4)	[1416]	-	-	-	524	9	SoCf	M3 V	SoCf	
2536	Ledbetter	X750856-3	De Po Ph Fo Lt	{ -2 }	(A74-3)	[7642]	-	-	R	304	13	SoCf	G0 V	SoCf	
2538	Piccione	B5A0320-C	He Lo Ht	{ 1 }	(821-3)	[1417]	-	-	-	212	9	SoCf	K6 V	SoCf	
2539	McBain	A89A626-E	Ni Wa Ht	{ 1 }	(C55+1)	[574D]	-	-	-	204	12	SoCf	F2 V	SoCf	
2631	Gerwalk	C100941-D	Hi In Na Va Sa Ht	{ 3 }	(G8F-1)	[5C19]	-	-	-	214	14	SoCf	M2 V	ImDs	
2633	Teska	B89A77A-C	Wa Pi Tz Ht	{ 3 }	(D6D+5)	[9A7E]	-	KM	-	322	9	SoCf	M1 V M2 V	SoCf	
2638	Lazog	C898432-9	Ni Pa	{ -1 }	(832-5)	[1315]	-	-	-	102	6	SoCf	M3 V M5 V	SoCf	
2731	Bergvardt	D200896-8	Na Va Ph Pi Co Lk	{ -2 }	(D76-3)	[7647]	-	-	-	303	8	SoCf	F4 V	SoCf	
2736	Fatch	A631205-E	Lo Po Tz Ht	{ 2 }	(612+1)	[143C]	-	KM	-	202	8	SoCf	M1 V	SoCf	
2831	Winneauer	B756437-B	Ni Ga Pa Fo (Obopebel)	{ 1 }	(C34-1)	[455B]	-	-	R	124	9	SoCf	K6 V	ImDs	
2836	Motao	B662513-B	Ni Pr	{ 2 }	(746-1)	[2728]	-	KM	-	200	13	SoCf	G3 V	SoCf	
2837	Derjoulian	A674104-E	Lo Ht	{ 2 }	(602+1)	[133C]	-	KM	-	712	7	SoCf	K8 V M6 V	SoCf	
2839	Tatsuya	C421264-B	He Lo Po O:3040 Tz	{ 0 }	(810-2)	[1239]	-	-	-	604	8	SoCf	M0 V	SoCf	
2932	Bouzouba	C586202-A	Lo Rs Co	{ 0 }	(910-4)	[1216]	-	-	-	814	16	SoCf	M1 V	SoCf	
2933	Pacific	B56878B-A	Ag Ri Cp Dolp2	{ 4 }	(B6D+5)	[9B7C]	-	-	-	502	14	SoCf	G2 V	SoCf	
2934	Aclavik	C559734-9		{ 0 }	(D69-2)	[5737]	-	-	-	522	8	SoCf	K2 V	SoCf	
2936	Pardini	B754432-B	Ni Pa	{ 1 }	(A34-3)	[1517]	-	-	-	813	13	SoCf	K5 V M1 V	SoCf	
2937	Berardsly	C656588-9	Ag Ni Ga	{ 0 }	(B44+1)	[5559]	-	-	-	304	13	SoCf	G0 V M2 V	SoCf	
2939	Hesselgrave	CA98696-8	Ag Ni	{ -1 }	(C53-2)	[5547]	-	-	-	404	15	SoCf	K1 V	SoCf	
2940	Gursky	B73888B-B	Ph Ho Tz	{ 2 }	(D7C+4)	[AA7D]	-	-	-	212	6	SoCf	K1 V M2 V	SoCf	
3031	Chouli	CAE8422-A	Ni Co	{ 0 }	(633-4)	[1416]	-	-	-	200	10	SoCf	G0 V	SoCf	
3036	Hessoun	C7B8779-9	Fl Co Tz	{ 0 }	(B69+1)	[876A]	-	-	-	220	10	SoCf	M2 V	SoCf	
3037	Wongxia	C765337-9	Lo Ga Co Tu	{ -1 }	(920-1)	[3259]	-	-	-	604	15	SoCf	M1 V M5 V	SoCf	
3040	Blackhawk	A6A568A-D	Fl Ni Ho Ht	{ 2 }	(E56+4)	[887F]	-	KM	-	124	12	SoCf	F4 V K7 V	SoCf	
3135	Strom	D43268A-8	Na Ni Po Ho	{ -3 }	(C51-1)	[837A]	-	-	-	904	10	SoCf	G6 V K9 V	SoCf	
3231	Mogeen	A435575-D	Ni Ht	{ 1 }	(B45-1)	[363C]	-	-	-	713	13	SoCf	G8 V	ImDs	
3234	Phua	X430312-6	De Lo Po Fo Tz	{ -3 }	(520-5)	[1112]	-	-	R	815	14	SoCf	M2 V	SoCf	
3235	Aija	E43558B-9	Ni Tz	{ -2 }	(B42+1)	[737B]	-	-	-	322	14	SoCf	M0 V	SoCf	
3237	Cammon	A886222-D	Lo Ga Ho Tr Ht	{ 1 }	(611-3)	[1319]	-	-	-	302	12	SoCf	G1 V K8 V	SoCf	
3239	Yukikyu	B4308BD-C	De Na Po Ph Pz Ho Ht	{ 3 }	(D7D+5)	[CB9G]	-	KM	A	203	14	SoCf	G8 V	SoCf	
